day,2017,2018,2019,2020,2021,2022
1,,75.0,79.2,81.3,67.8,80.4
2,100.0,84.6,69.8,70.2,76.8,85.8
3,88.5,95.4,81.5,86.0,75.4,88.9
4,79.0,91.9,77.9,82.8,81.1,91.4
5,80.1,92.8,73.8,80.6,79.3,98.1
6,72.9,74.1,68.5,82.2,85.6,100.8
7,71.6,75.0,74.8,82.9,81.9,89.6
8,68.4,75.9,74.5,86.5,84.6,97.3
9,76.1,75.7,74.5,81.9,72.0,88.7
10,92.3,77.2,71.4,78.6,75.6,91.9
11,89.8,70.0,86.7,76.3,78.6,78.4
